"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 15 14:37:16 GMT 2023","Thu Jun 15 14:37:16 GMT 2023","29","tests","test_basic_auth","TestPopupLogin","","","test_numberone",""
"passed","Thu Jun 15 14:37:09 GMT 2023","Thu Jun 15 14:37:09 GMT 2023","282","tests","test_api_post_user","","","","test_api_post_user",""
"passed","Thu Jun 15 14:37:17 GMT 2023","Thu Jun 15 14:37:18 GMT 2023","602","tests","test_example","TestTeglalap","","","test_one",""
"passed","Thu Jun 15 14:37:19 GMT 2023","Thu Jun 15 14:37:19 GMT 2023","106","tests","test_list","TestSelect","","","test_numberone",""
"passed","Thu Jun 15 14:37:09 GMT 2023","Thu Jun 15 14:37:09 GMT 2023","1","tests","test_api_request","","","","test_api_get_user",""
"passed","Thu Jun 15 14:37:09 GMT 2023","Thu Jun 15 14:37:09 GMT 2023","279","tests","test_api_auth","","","","test_api_auth",""
