"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 21 11:23:01 GMT 2023","Wed Jun 21 11:23:01 GMT 2023","496","tests","test_broken_image","TestBrokenImage","","","Broken image test",""
"passed","Wed Jun 21 11:23:02 GMT 2023","Wed Jun 21 11:23:03 GMT 2023","287","tests","test_context_menu","TestContextMenu","","","Context menu test",""
"passed","Wed Jun 21 11:22:58 GMT 2023","Wed Jun 21 11:22:58 GMT 2023","0","tests","test_api_request","","","","API get user test",""
"failed","Wed Jun 21 11:23:04 GMT 2023","Wed Jun 21 11:23:04 GMT 2023","52","tests","test_disappearing_elements","TestDisappearingElements","","","Disappearing Elements test",""
"passed","Wed Jun 21 11:22:58 GMT 2023","Wed Jun 21 11:22:58 GMT 2023","370","tests","test_api_post_user","","","","API post user test",""
"passed","Wed Jun 21 11:23:00 GMT 2023","Wed Jun 21 11:23:00 GMT 2023","23","tests","test_basic_auth","TestPopupLogin","","","Basic authentication test (Website)",""
"passed","Wed Jun 21 11:23:05 GMT 2023","Wed Jun 21 11:23:05 GMT 2023","101","tests","test_list","TestSelect","","","Checkbox testing",""
"passed","Wed Jun 21 11:22:58 GMT 2023","Wed Jun 21 11:22:58 GMT 2023","382","tests","test_api_auth","","","","API post test with authentication",""
"passed","Wed Jun 21 11:22:52 GMT 2023","Wed Jun 21 11:22:58 GMT 2023","5366","tests","test_add_element_button","TestAddElementButton","","","Add element buttons test",""
