"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 15 15:00:34 GMT 2023","Thu Jun 15 15:00:34 GMT 2023","106","tests","test_list","TestSelect","","","test_numberone",""
"passed","Thu Jun 15 15:00:31 GMT 2023","Thu Jun 15 15:00:31 GMT 2023","24","tests","test_basic_auth","TestPopupLogin","","","test_numberone",""
"passed","Thu Jun 15 15:00:33 GMT 2023","Thu Jun 15 15:00:33 GMT 2023","578","tests","test_example","TestTeglalap","","","test_one",""
"passed","Thu Jun 15 15:00:29 GMT 2023","Thu Jun 15 15:00:29 GMT 2023","0","tests","test_api_request","","","","test_api_get_user",""
"passed","Thu Jun 15 15:00:29 GMT 2023","Thu Jun 15 15:00:29 GMT 2023","369","tests","test_api_post_user","","","","test_api_post_user",""
"passed","Thu Jun 15 15:00:29 GMT 2023","Thu Jun 15 15:00:29 GMT 2023","361","tests","test_api_auth","","","","test_api_auth",""
