"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 22 12:36:05 GMT 2023","Thu Jun 22 12:36:05 GMT 2023","156","tests","test_broken_image","TestBrokenImage","","","Broken image test",""
"passed","Thu Jun 22 12:36:02 GMT 2023","Thu Jun 22 12:36:03 GMT 2023","309","tests","test_api_post_user","","","","API post user test",""
"passed","Thu Jun 22 12:36:08 GMT 2023","Thu Jun 22 12:36:08 GMT 2023","212","tests","test_disappearing_elements","TestDisappearingElements","","","Disappearing Elements test",""
"passed","Thu Jun 22 12:36:04 GMT 2023","Thu Jun 22 12:36:04 GMT 2023","39","tests","test_basic_auth","TestPopupLogin","","","Basic authentication test (Website)",""
"passed","Thu Jun 22 12:35:56 GMT 2023","Thu Jun 22 12:36:02 GMT 2023","5853","tests","test_add_element_button","TestAddElementButton","","","Add element buttons test",""
"passed","Thu Jun 22 12:36:06 GMT 2023","Thu Jun 22 12:36:07 GMT 2023","438","tests","test_context_menu","TestContextMenu","","","Context menu test",""
"passed","Thu Jun 22 12:36:03 GMT 2023","Thu Jun 22 12:36:03 GMT 2023","0","tests","test_api_request","","","","API get user test",""
"passed","Thu Jun 22 12:36:09 GMT 2023","Thu Jun 22 12:36:09 GMT 2023","339","tests","test_dropdown_list","TestDropdownList","","","Dropdown list test",""
"passed","Thu Jun 22 12:36:02 GMT 2023","Thu Jun 22 12:36:02 GMT 2023","321","tests","test_api_auth","","","","API post test with authentication",""
"passed","Thu Jun 22 12:36:10 GMT 2023","Thu Jun 22 12:36:10 GMT 2023","155","tests","test_list","TestSelect","","","Checkbox testing",""
