"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 15 15:24:23 GMT 2023","Thu Jun 15 15:24:24 GMT 2023","356","tests","test_api_auth","","","","API Authentication testing",""
"passed","Thu Jun 15 15:24:33 GMT 2023","Thu Jun 15 15:24:33 GMT 2023","633","tests","test_example","TestTeglalap","","","Web test",""
"passed","Thu Jun 15 15:24:24 GMT 2023","Thu Jun 15 15:24:24 GMT 2023","1","tests","test_api_request","","","","API get user",""
"passed","Thu Jun 15 15:24:31 GMT 2023","Thu Jun 15 15:24:31 GMT 2023","49","tests","test_basic_auth","TestPopupLogin","","","API auth",""
"passed","Thu Jun 15 15:24:34 GMT 2023","Thu Jun 15 15:24:34 GMT 2023","117","tests","test_list","TestSelect","","","Web listing test",""
"passed","Thu Jun 15 15:24:24 GMT 2023","Thu Jun 15 15:24:24 GMT 2023","358","tests","test_api_post_user","","","","API post user",""
