"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 20 09:23:49 GMT 2023","Tue Jun 20 09:23:50 GMT 2023","335","tests","test_api_post_user","","","","API post user test",""
"broken","Tue Jun 20 09:23:51 GMT 2023","Tue Jun 20 09:23:51 GMT 2023","0","tests","test_broken_image","TestBrokenImage","","","Broken image test",""
"passed","Tue Jun 20 09:23:49 GMT 2023","Tue Jun 20 09:23:49 GMT 2023","322","tests","test_api_auth","","","","API post test with authentication",""
"passed","Tue Jun 20 09:23:53 GMT 2023","Tue Jun 20 09:23:53 GMT 2023","191","tests","test_list","TestSelect","","","Checkbox testing",""
"passed","Tue Jun 20 09:23:43 GMT 2023","Tue Jun 20 09:23:49 GMT 2023","5675","tests","test_add_element_button","TestAddElementButton","","","Add element buttons test",""
"passed","Tue Jun 20 09:23:50 GMT 2023","Tue Jun 20 09:23:50 GMT 2023","0","tests","test_api_request","","","","API get user test",""
"passed","Tue Jun 20 09:23:51 GMT 2023","Tue Jun 20 09:23:51 GMT 2023","45","tests","test_basic_auth","TestPopupLogin","","","Basic authentication test (Website)",""
