"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 20 09:49:53 GMT 2023","Tue Jun 20 09:49:53 GMT 2023","1","tests","test_api_request","","","","API get user test",""
"passed","Tue Jun 20 09:49:53 GMT 2023","Tue Jun 20 09:49:53 GMT 2023","406","tests","test_api_auth","","","","API post test with authentication",""
"passed","Tue Jun 20 09:49:59 GMT 2023","Tue Jun 20 09:49:59 GMT 2023","397","tests","test_context_menu","TestContextMenu","","","Context menu test",""
"passed","Tue Jun 20 09:49:47 GMT 2023","Tue Jun 20 09:49:53 GMT 2023","5548","tests","test_add_element_button","TestAddElementButton","","","Add element buttons test",""
"passed","Tue Jun 20 09:49:55 GMT 2023","Tue Jun 20 09:49:55 GMT 2023","35","tests","test_basic_auth","TestPopupLogin","","","Basic authentication test (Website)",""
"passed","Tue Jun 20 09:49:53 GMT 2023","Tue Jun 20 09:49:53 GMT 2023","389","tests","test_api_post_user","","","","API post user test",""
"passed","Tue Jun 20 09:49:57 GMT 2023","Tue Jun 20 09:49:57 GMT 2023","668","tests","test_broken_image","TestBrokenImage","","","Broken image test",""
"passed","Tue Jun 20 09:50:01 GMT 2023","Tue Jun 20 09:50:01 GMT 2023","123","tests","test_list","TestSelect","","","Checkbox testing",""
